,Count
chapter i,17
i well,2
well prince,3
prince so,2
so genoa,1
genoa and,2
and lucca,2
lucca are,1
are now,11
now just,6
just family,1
family estates,1
estates of,2
of the,4037
the buonapartes,1
buonapartes but,1
but i,182
i warn,3
warn you,4
you if,5
if you,149
you don,55
don t,528
t tell,17
tell me,76
me that,37
that this,116
this means,2
means war,1
war if,2
you still,6
still try,1
try to,44
to defend,14
defend the,4
the infamies,1
infamies and,1
and horrors,1
horrors perpetrated,1
perpetrated by,1
by that,24
that antichrist,1
antichrist i,2
i really,10
really believe,3
believe he,2
he is,306
is antichrist,1
i will,151
will have,17
have nothing,14
nothing more,21
more to,27
to do,247
do with,30
with you,77
you and,86
and you,110
you are,223
are no,10
no longer,141
longer my,2
my friend,19
friend no,2
my faithful,1
faithful slave,2
slave as,1
as you,73
you call,4
call yourself,1
yourself but,7
but how,31
how do,21
do you,255
you do,43
do i,26
i see,38
see i,21
i have,366
have frightened,1
frightened you,1
you sit,2
sit down,37
down and,49
and tell,29
me all,14
all the,502
the news,62
news it,3
it was,889
was in,212
in july,2
july and,2
and the,1475
the speaker,11
speaker was,2
was the,301
the well,10
well known,24
known anna,1
anna pavlovna,152
pavlovna scherer,4
scherer maid,1
maid of,8
of honor,35
honor and,9
and favorite,3
favorite of,2
the empress,20
empress marya,4
marya fedorovna,4
fedorovna with,2
with these,14
these words,39
words she,9
she greeted,3
greeted prince,1
prince vasili,225
vasili kuragin,3
kuragin a,1
a man,264
man of,49
of high,1
high rank,1
rank and,7
and importance,4
importance who,2
who was,287
the first,369
first to,39
to arrive,11
arrive at,10
at her,217
her reception,1
reception anna,2
pavlovna had,3
had had,40
had a,129
a cough,1
cough for,1
for some,77
some days,5
days she,3
she was,329
was as,53
as she,156
she said,191
said suffering,1
suffering from,7
from la,1
la grippe,1
grippe grippe,1
grippe being,1
being then,1
then a,17
a new,81
new word,1
word in,4
in st,1
st petersburg,1
petersburg used,1
used only,2
only by,30
by the,771
the elite,1
elite all,1
all her,32
her invitations,1
invitations without,1
without exception,10
exception written,1
written in,6
in french,58
french and,42
and delivered,1
delivered by,2
by a,163
a scarlet,1
scarlet liveried,1
liveried footman,2
footman that,2
that morning,40
morning ran,1
ran as,4
as follows,9
follows if,1
you have,157
nothing better,1
better to,12
do count,1
count or,4
or prince,6
prince and,25
and if,43
if the,86
the prospect,5
prospect of,5
of spending,2
spending an,1
an evening,8
evening with,4
with a,949
a poor,12
poor invalid,2
invalid is,1
is not,168
not too,7
too terrible,2
terrible i,2
i shall,117
shall be,36
be very,15
very charmed,1
charmed to,2
to see,269
see you,33
you tonight,1
tonight between,1
between and,1
and annette,1
annette scherer,1
scherer heavens,1
heavens what,1
what a,136
a virulent,1
virulent attack,1
attack replied,1
replied the,52
the prince,198
prince not,5
not in,69
in the,2324
the least,43
least disconcerted,1
disconcerted by,2
by this,33
this reception,3
reception he,1
he had,1219
had just,51
just entered,3
entered wearing,1
wearing an,2
an embroidered,1
embroidered court,1
court uniform,2
uniform knee,1
knee breeches,3
breeches and,4
and shoes,1
shoes and,7
and had,198
had stars,1
stars on,2
on his,383
his breast,18
breast and,16
and a,378
a serene,3
serene expression,2
expression on,37
his flat,2
flat face,1
face he,26
he spoke,40
spoke in,9
in that,137
that refined,1
refined french,2
french in,13
in which,223
which our,11
our grandfathers,1
grandfathers not,1
not only,129
only spoke,3
spoke but,1
but thought,4
thought and,28
and with,228
with the,792
the gentle,4
gentle patronizing,1
patronizing intonation,1
intonation natural,1
natural to,10
to a,231
of importance,10
who had,426
had grown,31
grown old,2
old in,2
in society,29
society and,15
and at,173
at court,8
court he,4
he went,146
went up,103
up to,375
to anna,13
pavlovna kissed,1
kissed her,34
her hand,92
